Webpage,cluster,ID,z,bright_mag,bright_magerr,stellarity,ra,dec,zbpz,zbmin,zbmax,zb>4.5,zez,zezmin,zezmax,zez>4.5,x,y,fwhm,area,B435,eB435,V606,eV606,I814,eI814,Y105,eY105,J125,eJ125,JH140,eJH140,H160,eH160
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/222.html,plckg004-19,222,5.78,24.08,0.016,0.88,289.2821785,-33.5081907,5.75,5.62,5.90,5.75,5.80,5.41,6.14,5.65,1907.260,3436.303,0.220,86,28.5066,0.8675,28.2819,0.5609,25.3829,0.0667,24.3343,0.0584,24.0005,0.0716,24.195,0.0738,24.1318,0.0478
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1483.html,plckg004-19,1483,5.61,24.22,0.029,0.95,289.2871631,-33.5246366,5.67,5.35,5.78,5.67,5.55,5.31,5.93,5.49,1658.047,2449.514,0.203,79,29.1484,1.3092,27.6413,0.3546,25.0484,0.0496,24.3737,0.0414,24.2727,0.0625,24.1713,0.0466,24.4704,0.0475
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2691.html,plckg004-19,2691,6.00,24.47,0.019,0.97,289.2652211,-33.5445073,5.99,5.84,6.14,5.99,6.00,5.63,6.34,5.89,2755.504,1257.332,0.203,74,27.5998,0.437,-99,0,26.0603,0.1105,24.6998,0.0801,24.3778,0.0854,24.5158,0.0865,24.4653,0.0508
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1156.html,plckg004-19,1156,7.06,27.25,0.088,0.00,289.2724140,-33.5209486,6.71,1.09,7.60,6.71,7.41,1.61,8.09,6.83,2395.778,2670.857,0.344,24,30.1551,1.6212,30.3183,1.413,99,29.0069,27.2145,0.2472,26.9268,0.3101,27.0451,0.2857,27.009,0.1977
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/744.html,plckg004-19,744,5.53,25.37,0.031,0.15,289.2542204,-33.5169875,5.51,5.22,5.81,5.51,5.55,0.93,6.04,5.43,3305.878,2908.462,0.350,58,99,28.4054,28.2133,0.4832,26.2859,0.1264,25.4905,0.087,25.2403,0.1154,25.3016,0.0994,25.3432,0.0846
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2447.html,plckg004-19,2447,5.73,25.44,0.051,0.87,289.2668744,-33.5357260,5.58,5.24,5.91,5.58,5.88,4.89,6.19,5.56,2672.844,1784.214,0.190,53,27.5978,0.4445,99,28.8014,26.4347,0.1446,25.568,0.0979,25.4555,0.1464,25.4816,0.1229,25.3543,0.0777
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1904.html,plckg004-19,1904,5.82,25.51,0.034,0.97,289.2648545,-33.5294502,5.81,5.34,5.97,5.81,5.82,5.37,6.15,5.71,2773.886,2160.758,0.204,40,28.0753,0.5532,30.261,1.585,26.3296,0.1159,25.4896,0.0786,25.3763,0.1165,25.4335,0.1008,25.5203,0.0765
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1932.html,plckg004-19,1932,5.52,25.47,0.041,0.97,289.2437251,-33.5296311,5.55,5.03,5.77,5.55,5.48,4.53,5.95,5.43,3830.695,2149.741,0.197,38,29.8752,1.5829,27.9498,0.3442,26.1762,0.0985,25.5104,0.0827,25.5585,0.1364,25.3667,0.0982,25.6002,0.0832
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2698.html,plckg004-19,2698,6.14,25.58,0.035,0.97,289.2651888,-33.5446846,6.11,5.68,6.27,6.10,6.18,5.62,6.43,6.00,2757.123,1246.694,0.207,39,99,28.7397,99,29.1571,26.7962,0.1525,25.4382,0.1216,25.4289,0.1851,25.472,0.1525,25.4953,0.1065
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1508.html,plckg004-19,1508,6.09,25.61,0.056,0.97,289.2418125,-33.5248829,6.04,5.59,6.20,6.04,6.15,5.61,6.36,6.04,3926.434,2434.604,0.182,38,27.6588,0.378,29.4673,0.9813,26.7293,0.154,25.5225,0.0826,25.5369,0.1332,25.6212,0.1195,25.595,0.0811
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2057.html,plckg004-19,2057,6.11,25.95,0.051,0.95,289.2612817,-33.5316286,6.05,5.57,6.36,6.05,6.17,1.09,6.48,6.04,2952.575,2030.041,0.223,28,27.7237,0.3561,29.6498,1.0035,27.4179,0.2391,26.1029,0.1104,26.0154,0.1691,25.8149,0.1166,26.2389,0.1186
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1709.html,plckg004-19,1709,6.05,25.98,0.071,0.97,289.2609597,-33.5264853,6.05,0.85,6.47,6.05,1.31,0.94,6.51,5.90,2968.708,2338.639,0.215,27,29.2026,1.0308,28.9074,0.6583,27.6766,0.3083,26.2214,0.1295,25.8373,0.1504,25.9035,0.1328,25.8799,0.0903
https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1441.html,plckg004-19,1441,5.59,26.03,0.041,0.74,289.2942354,-33.5245708,5.51,5.04,5.97,5.51,5.67,4.70,6.18,5.61,1304.302,2453.393,0.193,41,99,28.6388,29.0935,0.7897,26.7798,0.1684,25.9397,0.1186,25.9743,0.1947,25.8537,0.1485,25.9559,0.1106
