match_status,jwst_match_id,nearest_jwst_id,raw_separation_arcsec,corrected_separation_arcsec,raw_delta_ra_arcsec,raw_delta_dec_arcsec,corrected_delta_ra_arcsec,corrected_delta_dec_arcsec,hst_ra_corrected_deg,hst_dec_corrected_deg,estimated_offset_ra_arcsec,estimated_offset_dec_arcsec,match_radius_arcsec,hst_Webpage,hst_cluster,hst_ID,hst_z,hst_bright_mag,hst_bright_magerr,hst_stellarity,hst_ra,hst_dec,hst_zbpz,hst_zbmin,hst_zbmax,hst_zb>4.5,hst_zez,hst_zezmin,hst_zezmax,hst_zez>4.5,hst_x,hst_y,hst_fwhm,hst_area,hst_B435,hst_eB435,hst_V606,hst_eV606,hst_I814,hst_eI814,hst_Y105,hst_eY105,hst_J125,hst_eJ125,hst_JH140,hst_eJH140,hst_H160,hst_eH160,jwst_id,jwst_ra,jwst_dec,jwst_f090w_tot_1,jwst_f090w_etot_1,jwst_f115w_tot_1,jwst_f115w_etot_1,jwst_f150w_tot_1,jwst_f150w_etot_1,jwst_f200w_tot_1,jwst_f200w_etot_1,jwst_f210m_tot_1,jwst_f210m_etot_1,jwst_f277w_tot_1,jwst_f277w_etot_1,jwst_f300m_tot_1,jwst_f300m_etot_1,jwst_f356w_tot_1,jwst_f356w_etot_1,jwst_f410m_tot_1,jwst_f410m_etot_1,jwst_f444w_tot_1,jwst_f444w_etot_1,jwst_f606w_tot_1,jwst_f606w_etot_1,jwst_f814w_tot_1,jwst_f814w_etot_1,jwst_f090w_tot_2,jwst_f090w_etot_2,jwst_f115w_tot_2,jwst_f115w_etot_2,jwst_f150w_tot_2,jwst_f150w_etot_2,jwst_f200w_tot_2,jwst_f200w_etot_2,jwst_f210m_tot_2,jwst_f210m_etot_2,jwst_f277w_tot_2,jwst_f277w_etot_2,jwst_f300m_tot_2,jwst_f300m_etot_2,jwst_f356w_tot_2,jwst_f356w_etot_2,jwst_f410m_tot_2,jwst_f410m_etot_2,jwst_f444w_tot_2,jwst_f444w_etot_2,jwst_f606w_tot_2,jwst_f606w_etot_2,jwst_f814w_tot_2,jwst_f814w_etot_2,jwst_f090w_tot_3,jwst_f090w_etot_3,jwst_f115w_tot_3,jwst_f115w_etot_3,jwst_f150w_tot_3,jwst_f150w_etot_3,jwst_f200w_tot_3,jwst_f200w_etot_3,jwst_f210m_tot_3,jwst_f210m_etot_3,jwst_f277w_tot_3,jwst_f277w_etot_3,jwst_f300m_tot_3,jwst_f300m_etot_3,jwst_f356w_tot_3,jwst_f356w_etot_3,jwst_f410m_tot_3,jwst_f410m_etot_3,jwst_f444w_tot_3,jwst_f444w_etot_3,jwst_flag_bcg,jwst_flag_star,jwst_nusefilt,jwst_z_ml,jwst_z_ml_chi2,jwst_z_ml_risk,jwst_lc_min,jwst_lc_max,jwst_z_phot,jwst_z_phot_chi2,jwst_z_phot_risk,jwst_z_min_risk,jwst_min_risk,jwst_z_raw_chi2,jwst_raw_chi2,jwst_z025,jwst_z160,jwst_z500,jwst_z840,jwst_z975,jwst_Separation
matched,5545,5545,0.533247,0.032739,0.532171,-0.033846,-0.004291,-0.032457,289.2823572194,-33.5081910860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/222.html,plckg004-19,222,5.78,24.08,0.016,0.88,289.2821785,-33.5081907,5.75,5.62,5.90,5.75,5.80,5.41,6.14,5.65,1907.260,3436.303,0.220,86,28.5066,0.8675,28.2819,0.5609,25.3829,0.0667,24.3343,0.0584,24.0005,0.0716,24.195,0.0738,24.1318,0.0478,5545,289.2823557897524,-33.50820010175038,0.5335590654953014,0.008755179857933327,0.9278017608594111,0.01105161526528883,0.9205494611642426,0.010568890763166272,0.7936736053214695,0.008749114076824657,0.7997978647467768,0.010122469067144209,0.4723652817297315,0.006569287517064193,0.42828306446237796,0.007216399337918722,0.4463697834203936,0.006105233252616152,0.39073495188165935,0.007015163708879774,0.3017436033432326,0.005456834518092811,0.03330489192826446,0.007778858045834219,0.3222437587227492,0.014494770869622123,0.576228385135469,0.00885824394334608,0.9910231711410291,0.01064090972405192,0.9924609716569858,0.010315166740941347,0.8601507735276743,0.008650602286329452,0.8619058657973293,0.010033467489265698,0.5136498064577253,0.006594796698324262,0.4649719958374714,0.00727447942736003,0.4809621113287653,0.0061919968665964525,0.4235907034163925,0.0075080863237308665,0.3214947194611985,0.0060626628102827445,0.03936395684469703,0.009275397390776903,0.361639233596855,0.015124456322448816,0.5730885079874174,0.00986147280289013,0.9760269173499859,0.011534705167878707,0.9888249483960706,0.011225738729861748,0.8583712116619143,0.00939334905241141,0.8566109735601637,0.010853202642018708,0.5140872839657752,0.007197891814452931,0.46515038581652746,0.007963440049502342,0.47400291708457587,0.006738105300101825,0.4196079543840767,0.008464485230340489,0.32063280719212023,0.007017392386691767,0,0,12,6.122121,71.81498,0.0069889817,5920.818879556313,44037.13906510422,6.122121,71.81498,0.0069889817,6.098974,0.006502048,6.098974,71.979515,5.912989,6.018711,6.104068,6.184329,6.253774,0.0
matched,2901,2901,0.590518,0.086203,0.586131,-0.071846,0.049668,-0.070456,289.2873418534,-33.5246369860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1483.html,plckg004-19,1483,5.61,24.22,0.029,0.95,289.2871631,-33.5246366,5.67,5.35,5.78,5.67,5.55,5.31,5.93,5.49,1658.047,2449.514,0.203,79,29.1484,1.3092,27.6413,0.3546,25.0484,0.0496,24.3737,0.0414,24.2727,0.0625,24.1713,0.0466,24.4704,0.0475,2901,289.287358403236,-33.52465655720663,0.6077328260417281,0.009726527483332926,0.9458629336048625,0.011431337086856492,0.9569383851177259,0.01116112172595862,0.8205389570353114,0.009177987864647375,0.8134063274799986,0.010799208194351349,0.48637466294368104,0.006881718500838369,0.46707331686978215,0.007595649711707256,0.42707445772143693,0.006254533930616226,0.40382263429852155,0.007242624674132253,0.3081032716098965,0.005585337385447454,0.028699018382288853,0.00779567721960589,0.21515166114199827,0.011462335111544307,0.6583949870811765,0.009760353398036636,1.023845916161774,0.011156013844767849,1.0403443561598387,0.011103334861234455,0.8918659674623803,0.009278157611804984,0.8851800001058144,0.01088094120158279,0.5266634864516276,0.007003645730801558,0.5030762379727639,0.007863249545725507,0.4604104703426134,0.006429028700629725,0.43907558894549864,0.007859818851355286,0.33067176441394763,0.0062559891871479065,0.03959118914043665,0.009379336841540109,0.3389389475005587,0.013865750814278292,0.6522515039131543,0.010853727187951264,1.0106759627956978,0.012195560907939534,1.0352764208500869,0.012251049214947194,0.8872999414324048,0.01020371012828257,0.8817064923960589,0.012027086300444738,0.5187601983016632,0.007619973216230285,0.49133222444949126,0.008609671529982717,0.4505062978037854,0.00703688645846994,0.4336840015291591,0.008805816224911977,0.3299011095968679,0.007228445857581427,0,0,12,6.2478642,43.12736,0.002584266,5920.818879556313,44037.13906510422,6.2478642,43.12736,0.002584266,6.2423835,0.0025970256,6.2423835,43.145245,6.138383,6.1917043,6.247265,6.303269,6.355903,0.0
unmatched,,45,,4.904663,,,1.247149,4.743453,289.2653998945,-33.5445076860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2691.html,plckg004-19,2691,6.00,24.47,0.019,0.97,289.2652211,-33.5445073,5.99,5.84,6.14,5.99,6.00,5.63,6.34,5.89,2755.504,1257.332,0.203,74,27.5998,0.437,-99,0,26.0603,0.1105,24.6998,0.0801,24.3778,0.0854,24.5158,0.0865,24.4653,0.0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matched,3598,3598,0.580785,0.064127,0.578657,-0.049680,0.042194,-0.048290,289.2725927458,-33.5209489860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1156.html,plckg004-19,1156,7.06,27.25,0.088,0.00,289.2724140,-33.5209486,6.71,1.09,7.60,6.71,7.41,1.61,8.09,6.83,2395.778,2670.857,0.344,24,30.1551,1.6212,30.3183,1.413,99,29.0069,27.2145,0.2472,26.9268,0.3101,27.0451,0.2857,27.009,0.1977,3598,289.2726068044587,-33.520962399979375,0.006911520543387798,0.007780890686829944,0.056343599059313805,0.00869836080565335,0.07073531779997415,0.009047507755338507,0.07773166190568803,0.007627185524358085,0.10466671755493354,0.009027735744388227,0.06413060023567714,0.00652275857550098,0.05870422331153532,0.007158020396033153,0.08221962140306573,0.005920291568934053,0.07522240856392938,0.007531593282623167,0.06752688507508482,0.006400792831018471,-0.010296622075121165,0.01095207010397376,0.004947108345978668,0.016850752091675858,0.002051779660474815,0.008554567245728869,0.05194923918799108,0.009485759870093957,0.07233911813353765,0.009798351244743734,0.07738813355202609,0.008239088553332835,0.1101104210793402,0.009789593525260593,0.0736843300678526,0.007041832035235675,0.06277548756104899,0.007815596709027628,0.08343661610713378,0.006426707969961247,0.08022533263605981,0.008288149596513255,0.07182631380789879,0.007138967527777475,-0.003292951545349792,0.012512302038638703,0.018094504378455185,0.01896386251904849,-5.168775740587166E-4,0.010094618840656228,0.04091032976374026,0.011098830231141103,0.07395489871775586,0.01141394860245003,0.07609249935338878,0.009528717020362572,0.11360400198138101,0.011308048539275976,0.08394636748766035,0.008114546605547432,0.06787384418769411,0.009052797119403353,0.0819226007327756,0.007397031205083979,0.08473754271156696,0.00959609201431308,0.06364083160593077,0.008340634516939407,0,0,12,7.725399,9.388195,0.060642187,5920.818879556313,44037.13906510422,7.725399,9.388195,0.060642187,7.6707067,0.060740232,7.757849,9.390432,7.00599,7.3767776,7.7216682,8.0573225,8.365899,0.0
matched,4306,4306,0.524717,0.012164,0.524714,0.001760,-0.011749,0.003149,289.2543991376,-33.5169878860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/744.html,plckg004-19,744,5.53,25.37,0.031,0.15,289.2542204,-33.5169875,5.51,5.22,5.81,5.51,5.55,0.93,6.04,5.43,3305.878,2908.462,0.350,58,99,28.4054,28.2133,0.4832,26.2859,0.1264,25.4905,0.087,25.2403,0.1154,25.3016,0.0994,25.3432,0.0846,4306,289.25439522311837,-33.51698701124787,0.2493510821385604,0.010164161494636254,0.35618581840977764,0.011418086507680142,0.3760105834412358,0.01162659068274755,0.29639092335606115,0.009411598484561906,0.28123039171146563,0.011082019239390695,0.17746714313513523,0.007337964994505081,0.1455583907602502,0.008010618306539236,0.13427982959739138,0.006589973459233781,0.11163512041500256,0.008451223807822358,0.10419373550186539,0.0072228940013674735,0.047269317625240566,0.012016071453377086,0.20859974060992695,0.01705365447709578,0.27466132338175303,0.01099748713899604,0.39688762436466984,0.012068345359097944,0.403366912005099,0.01223173893501733,0.30646148521499966,0.010136056632168539,0.2920130503722271,0.011600380803015644,0.17874573217302936,0.007804811976510963,0.13322757103847463,0.008608951705792192,0.13361734429829136,0.007149866121052408,0.11321037977670989,0.00941998022986351,0.10372338307639689,0.008010368211243134,0.05413259070697679,0.013671622655652709,0.21459903787462106,0.01874612047574113,0.2760302109636114,0.011962035060888885,0.40279398915204034,0.013110804637646689,0.3939563736189443,0.013197067265723202,0.27697720248064767,0.010919768827557004,0.27443609593418866,0.012452969254048627,0.1602954730191538,0.008406847603603893,0.10945052794912404,0.009366241087696632,0.11707284514749937,0.007715601405145375,0.10344892693256624,0.01033338740771637,0.09447223167355012,0.008824800054978241,0,0,12,-1.0,-1.0,-1.0,5920.818879556313,44037.13906510422,-1.0,-1.0,-1.0,0.01,-0.0,0.01,51.79852,0.0,0.0,0.0,0.0,0.0,0.0
matched,932,932,0.554709,0.018374,0.554708,0.000787,0.018245,0.002177,289.2670531763,-33.5357263860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2447.html,plckg004-19,2447,5.73,25.44,0.051,0.87,289.2668744,-33.5357260,5.58,5.24,5.91,5.58,5.88,4.89,6.19,5.56,2672.844,1784.214,0.190,53,27.5978,0.4445,99,28.8014,26.4347,0.1446,25.568,0.0979,25.4555,0.1464,25.4816,0.1229,25.3543,0.0777,932,289.26705925651385,-33.535725781447375,0.14233105895180012,0.007197811401551465,0.2912749617530133,0.008366245835208634,0.29326782267560003,0.00846298991912904,0.2542147520086861,0.006921933161492328,0.2807472569090567,0.008454427507553222,0.14771766063459157,0.005296136189264183,0.1389262966526114,0.005840550414907979,0.16074755276002084,0.004848643670003509,0.1481583567139487,0.006164630447085614,0.11295738455940196,0.00500567209841286,-0.00984045817015723,0.007697204293095269,0.09872461954648147,0.011317708514999589,0.14893402540781606,0.007989012783512446,0.307210893082475,0.008981073730673663,0.31007739764454467,0.009163157810654387,0.27008433954405525,0.007512110547987301,0.2999275587305287,0.009019978072010508,0.15467174591052293,0.005726255043175086,0.1473421349700663,0.006306085564626695,0.17369013967140012,0.005345075849283152,0.1567638364270449,0.006979373303842732,0.12155534121092448,0.005743846278397057,-0.012493173488486968,0.009149900469599213,0.11319356643907347,0.013031014111720968,0.1425629422957316,0.009615218317059401,0.30239022538229987,0.010643653282873318,0.3065686774083389,0.01094615951503355,0.2684856605300682,0.0089176144574603,0.30091961477780793,0.010623474811745337,0.15138643074973254,0.006821547381667642,0.147461800870116,0.007499466999059828,0.17378853907270714,0.006364944982371409,0.15134508415797365,0.008430312179299085,0.11933600431130512,0.006998467130414838,0,0,12,6.435623,68.604225,0.009113926,5920.818879556313,44037.13906510422,6.435623,68.604225,0.009113926,6.388689,0.00853777,6.462947,68.65998,6.1775417,6.303166,6.418072,6.505892,6.578378,0.0
matched,1977,1977,0.535192,0.010921,0.535109,0.009447,-0.001354,0.010837,289.2650332634,-33.5294505860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1904.html,plckg004-19,1904,5.82,25.51,0.034,0.97,289.2648545,-33.5294502,5.81,5.34,5.97,5.81,5.82,5.37,6.15,5.71,2773.886,2160.758,0.204,40,28.0753,0.5532,30.261,1.585,26.3296,0.1159,25.4896,0.0786,25.3763,0.1165,25.4335,0.1008,25.5203,0.0765,1977,289.265032812154,-33.529447575778555,0.48572561242932005,0.02178419340616211,0.8549164056498832,0.02239483598682391,0.8462254374708523,0.022526439846135386,0.710339951745824,0.017961169239111275,0.7365516686630826,0.021395732606770072,0.43185664073761804,0.014623213530585773,0.40919386829816423,0.016848385568396608,0.4303086340813862,0.013798692504109042,0.36981426659613925,0.019224861764701354,0.2911822944949526,0.01363552671564223,0.03798899937861419,0.020987753595339408,0.2663842133073061,0.02934153050167773,0.5148243149789087,0.022755934734605115,0.8923231105297206,0.02255389807544951,0.9066933595281556,0.02301285335925442,0.761710822536888,0.018518391014347022,0.7714353728366041,0.021658110613021503,0.46059423433342767,0.015031994319336498,0.4378609931254573,0.017271293733371242,0.46405078922696236,0.014176974616939496,0.4090242642659715,0.02025044017928786,0.3134674512315311,0.014786245833903342,0.04825838684311828,0.023666053081792503,0.2964396550756051,0.03266292733599678,0.5049000290144043,0.02535102349125869,0.8572381380319092,0.024679617459012006,0.896723127459875,0.025288442433508657,0.7601131092439161,0.020480430860033712,0.7449243783807925,0.023640861906191017,0.46211347960815885,0.0164601590999948,0.43448221761596956,0.01893366040099837,0.4658220970095026,0.015498883575166872,0.4085537908235849,0.0223922259073249,0.3071613958409635,0.016633366508214866,0,1,12,6.230458,41.777122,0.007066637,5920.818879556313,44037.13906510422,6.230458,41.777122,0.007066637,6.2423835,0.0071470467,6.2423835,41.787575,6.047604,6.1462636,6.233538,6.3271394,6.4131002,0.0
unmatched,,2187,,8.542178,,,7.634828,3.831214,289.2439038637,-33.5296314860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1932.html,plckg004-19,1932,5.52,25.47,0.041,0.97,289.2437251,-33.5296311,5.55,5.03,5.77,5.55,5.48,4.53,5.95,5.43,3830.695,2149.741,0.197,38,29.8752,1.5829,27.9498,0.3442,26.1762,0.0985,25.5104,0.0827,25.5585,0.1364,25.3667,0.0982,25.6002,0.0832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unmatched,,45,,5.547031,,,1.344062,5.381733,289.2653675949,-33.5446849860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/2698.html,plckg004-19,2698,6.14,25.58,0.035,0.97,289.2651888,-33.5446846,6.11,5.68,6.27,6.10,6.18,5.62,6.43,6.00,2757.123,1246.694,0.207,39,99,28.7397,99,29.1571,26.7962,0.1525,25.4382,0.1216,25.4289,0.1851,25.472,0.1525,25.4953,0.1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unmatched,,2922,,11.157906,,,11.094314,1.189565,289.2419912539,-33.5248832860,0.536463,-0.001390,0.20,https://relics.stsci.edu/HST/plckg004-19/final_processing/catalogs/IR_detection/PhotoZ/html/1508.html,plckg004-19,1508,6.09,25.61,0.056,0.97,289.2418125,-33.5248829,6.04,5.59,6.20,6.04,6.15,5.61,6.36,6.04,3926.434,2434.604,0.182,38,27.6588,0.378,29.4673,0.9813,26.7293,0.154,25.5225,0.0826,25.5369,0.1332,25.6212,0.1195,25.595,0.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
