high_z_candidate,match_status,relics_match_id,nearest_relics_id,raw_separation_arcsec,corrected_separation_arcsec,raw_delta_ra_arcsec,raw_delta_dec_arcsec,corrected_delta_ra_arcsec,corrected_delta_dec_arcsec,ra_offset_arcsec,dec_offset_arcsec,match_radius_arcsec,selection_min_z_phot,selection_min_z025,selection_min_z500,selection_max_z_phot_risk,selection_min_nusefilt,jwst_id,jwst_ra,jwst_dec,jwst_f090w_tot_1,jwst_f090w_etot_1,jwst_f115w_tot_1,jwst_f115w_etot_1,jwst_f150w_tot_1,jwst_f150w_etot_1,jwst_f200w_tot_1,jwst_f200w_etot_1,jwst_f210m_tot_1,jwst_f210m_etot_1,jwst_f277w_tot_1,jwst_f277w_etot_1,jwst_f300m_tot_1,jwst_f300m_etot_1,jwst_f356w_tot_1,jwst_f356w_etot_1,jwst_f410m_tot_1,jwst_f410m_etot_1,jwst_f444w_tot_1,jwst_f444w_etot_1,jwst_f606w_tot_1,jwst_f606w_etot_1,jwst_f814w_tot_1,jwst_f814w_etot_1,jwst_f090w_tot_2,jwst_f090w_etot_2,jwst_f115w_tot_2,jwst_f115w_etot_2,jwst_f150w_tot_2,jwst_f150w_etot_2,jwst_f200w_tot_2,jwst_f200w_etot_2,jwst_f210m_tot_2,jwst_f210m_etot_2,jwst_f277w_tot_2,jwst_f277w_etot_2,jwst_f300m_tot_2,jwst_f300m_etot_2,jwst_f356w_tot_2,jwst_f356w_etot_2,jwst_f410m_tot_2,jwst_f410m_etot_2,jwst_f444w_tot_2,jwst_f444w_etot_2,jwst_f606w_tot_2,jwst_f606w_etot_2,jwst_f814w_tot_2,jwst_f814w_etot_2,jwst_f090w_tot_3,jwst_f090w_etot_3,jwst_f115w_tot_3,jwst_f115w_etot_3,jwst_f150w_tot_3,jwst_f150w_etot_3,jwst_f200w_tot_3,jwst_f200w_etot_3,jwst_f210m_tot_3,jwst_f210m_etot_3,jwst_f277w_tot_3,jwst_f277w_etot_3,jwst_f300m_tot_3,jwst_f300m_etot_3,jwst_f356w_tot_3,jwst_f356w_etot_3,jwst_f410m_tot_3,jwst_f410m_etot_3,jwst_f444w_tot_3,jwst_f444w_etot_3,jwst_flag_bcg,jwst_flag_star,jwst_nusefilt,jwst_z_ml,jwst_z_ml_chi2,jwst_z_ml_risk,jwst_lc_min,jwst_lc_max,jwst_z_phot,jwst_z_phot_chi2,jwst_z_phot_risk,jwst_z_min_risk,jwst_min_risk,jwst_z_raw_chi2,jwst_raw_chi2,jwst_z025,jwst_z160,jwst_z500,jwst_z840,jwst_z975,jwst_Separation,relics_id,relics_RA,relics_Dec,relics_x,relics_y,relics_fwhm,relics_area,relics_stel,relics_ell,relics_theta,relics_nf5sig,relics_nfobs,relics_f435w_mag,relics_f435w_magerr,relics_f435w_flux,relics_f435w_fluxerr,relics_f435w_fluxnJy,relics_f435w_fluxnJyerr,relics_f435w_sig,relics_f606w_mag,relics_f606w_magerr,relics_f606w_flux,relics_f606w_fluxerr,relics_f606w_fluxnJy,relics_f606w_fluxnJyerr,relics_f606w_sig,relics_f814w_mag,relics_f814w_magerr,relics_f814w_flux,relics_f814w_fluxerr,relics_f814w_fluxnJy,relics_f814w_fluxnJyerr,relics_f814w_sig,relics_f105w_mag,relics_f105w_magerr,relics_f105w_flux,relics_f105w_fluxerr,relics_f105w_fluxnJy,relics_f105w_fluxnJyerr,relics_f105w_sig,relics_f125w_mag,relics_f125w_magerr,relics_f125w_flux,relics_f125w_fluxerr,relics_f125w_fluxnJy,relics_f125w_fluxnJyerr,relics_f125w_sig,relics_f140w_mag,relics_f140w_magerr,relics_f140w_flux,relics_f140w_fluxerr,relics_f140w_fluxnJy,relics_f140w_fluxnJyerr,relics_f140w_sig,relics_f160w_mag,relics_f160w_magerr,relics_f160w_flux,relics_f160w_fluxerr,relics_f160w_fluxnJy,relics_f160w_fluxnJyerr,relics_f160w_sig,relics_bright_mag,relics_bright_magerr,relics_zb,relics_zbmin,relics_zbmax,relics_tb,relics_odds,relics_chisq,relics_chisq2,relics_M0,relics_zml,relics_tml
1,unmatched,,2599,23.262388,23.670655,-17.629944,-15.176421,-18.166407,-15.175031,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,3,289.25049202821873,-33.54506347252039,3.252822329219882,0.042177155328579345,4.194814090762484,0.05054745788183214,4.7001261625114426,0.05017689157212497,3.788473030147121,0.03342575373008248,3.7105503513226474,0.03906571681632163,2.1785181628498282,0.023667900401343624,2.014298955166665,0.029638056172166635,1.652758610169519,0.02005396541667633,1.3815127890552674,0.021212422396834532,1.1467466372615722,0.014563251922650705,0.3578520899576719,0.00941197379078625,0.8978034705244999,0.014096538996732447,3.5254093298910227,0.03596809469573787,4.511912551794627,0.04245785038335792,5.05533800477638,0.04345035749156515,4.076414744584171,0.029750068107299656,3.9899888750343497,0.034791115270288116,2.345932302604451,0.02151692638357206,2.201952412567342,0.02930477591061909,1.7937056577179982,0.021005016674500304,1.5071076113331745,0.020724297220453863,1.2316001087213173,0.014847527512180037,0.6747558988625172,0.012283935003840648,1.6870111628985105,0.018916341732414636,3.5146210912290394,0.03541666650313384,4.473693133161123,0.04125781913319667,4.954665357191222,0.042334110043774145,4.048239936480289,0.02951847991068759,3.951112453914175,0.03466077190728483,2.3282666700556125,0.021574848103154597,2.252208865845118,0.029885040212353955,1.7067628028534005,0.024017359085680718,1.5087047960139335,0.02170912857589621,1.2317390699220239,0.01612122692948843,0,0,12,6.3289433,85.677795,0.0011312036,5920.818879556313,44037.13906510422,6.3289433,85.677795,0.0011312036,6.3151703,0.0012475589,6.3151703,85.86603,6.252539,6.2920775,6.331052,6.3671503,6.400809,0.0,2599,289.2563677,-33.5408478,3198.273,1476.862,0.177,17,0.80,0.171,66.3,2,7,29.6590,1.0212,0.0253,0.0394,4.9706,7.7606,0.64,28.0826,0.2446,0.2323,0.0587,21.2314,5.3656,3.96,26.5487,0.0855,0.5731,0.0470,87.1967,7.1454,12.20,26.3151,0.2222,0.9583,0.2176,108.1344,24.5576,4.40,26.3376,0.3647,0.9059,0.3616,105.9166,42.2827,2.50,26.3630,0.2820,1.0858,0.3220,103.4635,30.6808,3.37,26.1878,0.1846,0.8006,0.1484,121.5822,22.5350,5.40,26.4104,28.0179,4.560,4.261,5.258,8.70,0.751,0.096,0.090,26.5490,4.53,8.80
1,unmatched,,2640,10.540900,10.827538,-5.463801,-9.014292,-6.000264,-9.012902,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,16,289.25637812874135,-33.54452866994275,0.24330933401509627,0.028280504294282468,0.3412708266204482,0.035631354386230524,0.40033663346915876,0.032268664766822726,0.2857292854302205,0.0258496891677539,0.2667005537766577,0.029988509806524444,0.1023899146616968,0.06911363300242557,0.14786382975696585,0.11425102685563555,0.10442885702946375,0.029476257867465,0.20326300833116143,0.050487798625808336,0.11855169281901769,0.04428671248162503,0.012783919672699868,0.02264798523286624,0.1189369675697345,0.0336397331728515,0.26897289058931206,0.02225481023694728,0.36273721238581913,0.026071992308090194,0.4082797690355122,0.025309150649565824,0.32303505394547377,0.020357169518377974,0.2978968364239365,0.023639877553023707,0.10434008702668542,0.04553764353929545,0.13486591432211545,0.08192524665331201,0.09903295198736767,0.02232398786933522,0.17879828936687925,0.040898026300859536,0.12971985347254994,0.038033150423670115,0.03029502543522477,0.018378021916292914,0.14945197006338035,0.025908807248265466,0.3028986444168291,0.01979919177485864,0.3828636591545375,0.022471657920956307,0.4206719389157983,0.02236464526411027,0.36172757791217575,0.01813621871971252,0.33187290893793514,0.02083093802751648,0.10342494926569912,0.033019672134826705,0.11511854332785906,0.05671735947163793,0.08732851620307962,0.01941896918746586,0.14316060609190834,0.03108134575943274,0.1301082329094962,0.028592512358961243,0,0,12,6.171553,14.731154,0.030341696,5920.818879556313,44037.13906510422,6.171553,14.731154,0.030341696,6.098974,0.02838045,6.1703205,14.731536,5.7160807,5.9366126,6.138394,6.300722,6.43649,0.0,2640,289.2581991,-33.5420247,3106.676,1406.259,0.140,37,0.93,0.241,-48.6,6,7,28.4688,0.6144,0.0756,0.0575,14.8754,11.3197,1.31,25.9670,0.0563,1.6303,0.0868,149.0040,7.9319,18.79,25.2370,0.0387,1.9184,0.0696,291.8835,10.5843,27.58,25.0392,0.0980,3.1038,0.2933,350.2105,33.0899,10.58,25.0542,0.1627,2.9543,0.4775,345.4075,55.8281,6.19,25.0109,0.1183,3.7722,0.4343,359.4478,41.3796,8.69,24.9999,0.0883,2.3908,0.2025,363.1025,30.7606,11.80,25.0960,27.6800,3.965,3.790,4.255,9.10,0.886,0.268,0.215,25.2370,4.00,9.10
1,unmatched,,2640,12.809198,13.221305,-9.751525,-8.305619,-10.287988,-8.304229,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,24,289.25494912344027,-33.54433181649307,1.348104529208708,0.02439039154218709,1.8793783585862323,0.02846750182063305,2.036510978118668,0.029179608274852203,1.7075706384102878,0.02236825213080182,1.6793182079201052,0.026193267248968203,1.0197408082955617,0.01658178319265246,0.9222478242395737,0.019677398168965788,0.7865450563010926,0.01399379416179111,0.6882180341637651,0.016440437016172017,0.5709842340077822,0.013018582978411646,0.234305283576976,0.013289433186100956,0.7504713056628142,0.021754850970425114,1.408870263098789,0.02246229299921471,1.9615138133703338,0.025839565924049533,2.1308364615153748,0.026610367470008407,1.8039856730562052,0.021231463556334304,1.7599561422383485,0.02450446034618206,1.0965310002397022,0.015475410965625176,0.9966031999592608,0.019529878905373017,0.8441909747573624,0.01338279330066708,0.7353247997168321,0.016413564133651092,0.6219997816450058,0.013452933999299982,0.31273072437755395,0.01479830548698196,0.9950691373137645,0.023668885415638774,1.3441863065862727,0.022844389652069773,1.8645244697919907,0.026011632206001858,2.032228957328085,0.02681902375685389,1.7484756956066376,0.02177092843690735,1.6838725287728553,0.024778787432202867,1.1041097149234307,0.015682245609827655,1.0010611027193348,0.020455424573122525,0.8342140032814441,0.013816071669190737,0.7311704809325286,0.01724826682733135,0.6201790137610705,0.014449393855323648,0,0,12,6.050532,86.04823,0.0056653866,5920.818879556313,44037.13906510422,6.050532,86.04823,0.0056653866,6.0283384,0.0059093074,6.0283384,86.08837,5.8536,5.982173,6.052711,6.121129,6.185777,0.0,2640,289.2581991,-33.5420247,3106.676,1406.259,0.140,37,0.93,0.241,-48.6,6,7,28.4688,0.6144,0.0756,0.0575,14.8754,11.3197,1.31,25.9670,0.0563,1.6303,0.0868,149.0040,7.9319,18.79,25.2370,0.0387,1.9184,0.0696,291.8835,10.5843,27.58,25.0392,0.0980,3.1038,0.2933,350.2105,33.0899,10.58,25.0542,0.1627,2.9543,0.4775,345.4075,55.8281,6.19,25.0109,0.1183,3.7722,0.4343,359.4478,41.3796,8.69,24.9999,0.0883,2.3908,0.2025,363.1025,30.7606,11.80,25.0960,27.6800,3.965,3.790,4.255,9.10,0.886,0.268,0.215,25.2370,4.00,9.10
1,unmatched,,2599,12.658572,13.046703,-9.053576,-8.847158,-9.590039,-8.845768,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,42,289.2533503734693,-33.54330534399079,0.025116329151715914,0.005954141989443573,0.08683364326357469,0.007029615608370421,0.0772040853863872,0.006956486941218788,0.07005155728340862,0.005934505312661142,0.08788686644250164,0.006698193693820814,0.048172150500866436,0.005603155522518989,0.04067606018259437,0.006128252815720284,0.058422615519957116,0.00534961081706362,0.06468055485925811,0.007146150389299979,0.049718691168825616,0.00600863996560417,-0.005570679178479104,0.007340186909393366,2.206135487733191E-4,0.009477872201885798,0.02699991143931945,0.00688594764714734,0.09244331071410035,0.007845517739495983,0.0815015663685767,0.00793565076824023,0.07509694606042727,0.006629090534646228,0.09335485120971122,0.0075547865925490116,0.052295598445361226,0.006253929335503134,0.04103755415650103,0.0067998302768754945,0.05771022887080574,0.005984720281432835,0.0711782634796238,0.008122123830701313,0.05507978286265824,0.006844584086191174,-0.003243031209497983,0.008436038556947982,6.864854302159703E-4,0.011006787519158465,0.028267026865889215,0.008974827623309107,0.09904166186088634,0.010058874948881701,0.08400053297485059,0.01024012250450512,0.08175871950285009,0.008507328713688487,0.09974997345501693,0.009714882344206354,0.05676946191251696,0.007902454724212533,0.04379502385670146,0.008671115281103873,0.049873520226605926,0.007532979225478133,0.0778448785882829,0.01030214814841467,0.06274173146515527,0.008754216246820747,0,0,12,6.848145,15.9268,0.010515878,5920.818879556313,44037.13906510422,6.848145,15.9268,0.010515878,6.84558,0.010503019,6.84558,15.924851,6.6200886,6.7410555,6.8463464,6.9476132,7.072946,0.0,2599,289.2563677,-33.5408478,3198.273,1476.862,0.177,17,0.80,0.171,66.3,2,7,29.6590,1.0212,0.0253,0.0394,4.9706,7.7606,0.64,28.0826,0.2446,0.2323,0.0587,21.2314,5.3656,3.96,26.5487,0.0855,0.5731,0.0470,87.1967,7.1454,12.20,26.3151,0.2222,0.9583,0.2176,108.1344,24.5576,4.40,26.3376,0.3647,0.9059,0.3616,105.9166,42.2827,2.50,26.3630,0.2820,1.0858,0.3220,103.4635,30.6808,3.37,26.1878,0.1846,0.8006,0.1484,121.5822,22.5350,5.40,26.4104,28.0179,4.560,4.261,5.258,8.70,0.751,0.096,0.090,26.5490,4.53,8.80
1,unmatched,,2649,2.601395,3.104760,-2.411347,-0.976044,-2.947810,-0.974654,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,52,289.2620328511814,-33.543076623312864,0.04310691517964793,0.015051152363509469,0.08819370596592675,0.017034769068275234,0.05067663681879188,0.017019393551254355,0.0521165285909014,0.014715789444452518,0.06211956319849918,0.015787720770698923,0.033879952142169954,0.009424566189868472,0.01715838591106901,0.01037775649883395,0.04318908780349852,0.008842060363256327,0.0348445997468067,0.011883074603346071,0.029057592054375907,0.01052060018811995,-0.009091165244640527,0.012680276320931265,0.02082345235866115,0.018168709729978902,0.06454087184231277,0.02102624265889339,0.11706353440720124,0.02329793356327893,0.05959939176966286,0.02425019394200123,0.05951519584586153,0.02113946701165985,0.06947702759366081,0.021447193844421508,0.0363034613473553,0.01273277882573859,0.0011574927428569498,0.013960945998199985,0.05602476329316081,0.011876976292199758,0.035846767641375434,0.016073643763512866,0.023910944599819628,0.014197231695548559,-0.0046956781647486835,0.017251124095094224,0.024740720884895533,0.024486834583687275,0.08705990136962043,0.0278160576543271,0.12378313026971752,0.029111722518679346,0.059706737384054,0.031206038858654542,0.05204094186990693,0.025337835898295448,0.06377741888265145,0.027953460000036037,0.03163424765870522,0.01562600441794585,-0.02411918237135717,0.017129571963036553,0.06632889419950246,0.014632499522886921,0.024089396011654853,0.01971887113594278,-9.107205075666383E-4,0.01737352245796332,0,0,12,6.419827,7.719794,0.1257653,5920.818879556313,44037.13906510422,6.419827,7.719794,0.1257653,6.3151703,0.12404582,6.388689,7.7283974,4.732563,5.9210553,6.3694887,6.704823,7.1068635,0.0,2649,289.2628365,-33.5428055,2874.763,1359.434,0.178,335,0.99,0.082,4.4,6,7,26.0635,0.2490,0.6926,0.1785,136.3286,35.1353,3.88,24.0364,0.0299,9.6499,0.2698,881.9737,24.6579,35.77,22.3454,0.0088,27.5144,0.2230,4186.3976,33.9263,123.40,21.6941,0.0112,67.5971,0.7029,7627.2759,79.3112,96.17,21.5772,0.0147,72.6492,0.9910,8493.9947,115.8702,73.31,21.7059,0.0151,79.1741,1.1080,7544.4010,105.5765,71.46,21.5533,0.0085,57.1757,0.4470,8683.3865,67.8843,127.91,21.5618,26.8206,4.691,4.644,4.738,7.40,1.000,18.791,2.800,22.3450,4.68,7.30
1,unmatched,,2599,6.753096,6.891574,-1.509882,-6.582140,-2.046345,-6.580750,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,73,289.25586449665116,-33.542676172235595,0.6616249343394929,0.00981833532545562,1.0962374272191018,0.012442048306936007,1.0943323629720467,0.012039451080379505,0.9277435545433205,0.010550832858239372,0.9388241854952722,0.011345187274753012,0.5419503632028702,0.0072829976363077,0.49372336241708314,0.007816184738924727,0.5018665540690935,0.006333416227018759,0.45830315216517115,0.007386092201075934,0.3604087083434103,0.00576665884356901,0.04144151027135385,0.007753773415320009,0.4152802163744202,0.01276545005776937,0.6962300311549685,0.009488250523280539,1.154622776399338,0.01155438255916226,1.1458639051155957,0.011386418858080895,0.9817176047537505,0.009984049736668645,0.9890436631477129,0.010908110037986944,0.5795273808569202,0.007078475600105465,0.5320168286923425,0.007607730102393882,0.5354897353384476,0.006237752164156749,0.4855508798794966,0.007637820744937731,0.3927223322307787,0.006211049529471803,0.04453289428031948,0.00889604102399164,0.4529228828514999,0.013517620129132477,0.6796261096313785,0.010372436098298065,1.127154365302156,0.01229012662005016,1.1101862570617687,0.01218406813367438,0.960269829358071,0.010499893140602472,0.9612923340235007,0.011616746758964642,0.5728090788751099,0.0075595042087222555,0.5307493795814269,0.008078027906024908,0.5291837692134682,0.006692637643117124,0.4706351961054619,0.008354163870896743,0.3917273221082467,0.007004616499183933,0,0,12,6.0262556,76.57323,0.010377497,5920.818879556313,44037.13906510422,6.0262556,76.57323,0.010377497,6.0283384,0.0104725575,6.0283384,76.586395,5.755309,5.900276,6.0152073,6.101467,6.1805687,0.0,2599,289.2563677,-33.5408478,3198.273,1476.862,0.177,17,0.80,0.171,66.3,2,7,29.6590,1.0212,0.0253,0.0394,4.9706,7.7606,0.64,28.0826,0.2446,0.2323,0.0587,21.2314,5.3656,3.96,26.5487,0.0855,0.5731,0.0470,87.1967,7.1454,12.20,26.3151,0.2222,0.9583,0.2176,108.1344,24.5576,4.40,26.3376,0.3647,0.9059,0.3616,105.9166,42.2827,2.50,26.3630,0.2820,1.0858,0.3220,103.4635,30.6808,3.37,26.1878,0.1846,0.8006,0.1484,121.5822,22.5350,5.40,26.4104,28.0179,4.560,4.261,5.258,8.70,0.751,0.096,0.090,26.5490,4.53,8.80
1,unmatched,,2652,3.169420,2.641143,3.130463,0.495401,2.594000,0.496791,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,76,289.26071720986624,-33.54251158862045,9.257931624296836E-4,0.004383803540537042,0.028080799282797293,0.004918389042232199,0.035194183796325815,0.0050909991634995756,0.043968773541387944,0.004291838881742884,0.04439917413977216,0.004809508336823882,0.02136416024766523,0.004068238278015431,0.02122803237897538,0.004554711217859507,0.03921448310636229,0.003906794476087398,0.036500838531918586,0.005137519275674771,0.030713472887172844,0.004451961370801079,0.003446192668352822,0.005612946643398136,0.009699841791603554,0.007461665244493127,4.72583092943051E-4,0.005316944501696984,0.03127221775968638,0.005878666392836318,0.03702533502931273,0.006028926618026398,0.051633219627717206,0.005061189752543508,0.047627088932970116,0.0056789959805527545,0.023374327238110764,0.0048266843870732,0.01792932333947828,0.005295499490262797,0.04180216750290594,0.004581643033027495,0.04161203966201989,0.006137684715354267,0.030347544336795578,0.005319858794903918,0.007205119793974697,0.006614811572738966,0.015024573627652306,0.008944330970729462,1.0946348188083593E-5,0.006748217177408204,0.03366165723296994,0.007366533644080734,0.0360268393137561,0.007549296282786414,0.05798887324404037,0.006311843673885153,0.046269052570386215,0.007089246366497301,0.02147737886780067,0.006037149707470273,0.013627959605128252,0.0066783359930257516,0.0420915168511876,0.005742939934308616,0.04070160005805297,0.00765364647520499,0.03237938369934728,0.006669726648640898,0,0,12,7.720652,15.682054,0.07911819,5920.818879556313,44037.13906510422,7.720652,15.682054,0.07911819,7.757849,0.07892912,7.757849,15.684589,7.0020795,7.3799543,7.757009,8.15416,8.4633,0.0,2652,289.2596739,-33.5426492,3032.918,1368.795,0.193,33,0.98,0.119,56.2,6,7,29.5570,1.1933,0.0277,0.0555,5.4601,10.9269,0.50,26.9459,0.1313,0.6618,0.0850,60.4859,7.7729,7.78,26.0128,0.0725,0.9389,0.0648,142.8535,9.8630,14.48,25.6875,0.1230,1.7082,0.2050,192.7437,23.1283,8.33,25.6084,0.1816,1.7732,0.3229,207.3179,37.7541,5.49,25.5217,0.1353,2.3565,0.3128,224.5511,29.8032,7.53,25.5593,0.0985,1.4283,0.1357,216.9188,20.6059,10.53,25.6676,28.1150,4.244,0.470,4.451,8.30,0.809,0.303,0.302,26.0130,4.26,8.30
1,matched,2649,2649,0.569468,0.038923,0.569014,-0.022731,0.032551,-0.021341,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,79,289.2630261393959,-33.54281181411276,6.297887295753934,0.048151986753617086,9.413523834359532,0.06593825825800739,9.891110624439118,0.05448530746451057,8.130649883539883,0.036326071188118425,8.152970671819862,0.04175695969660317,4.639303680858887,0.024465182963319548,4.084487703243733,0.025897901298713194,3.8928737345961526,0.020965235382486975,3.4597818998580046,0.021555848125762698,2.7565350854123944,0.014610960760332536,0.8258376844501074,0.012553130400495513,3.847148760868266,0.028272980749324696,6.769009649385347,0.039730882051852476,10.105245028204143,0.05369171149825169,10.597778598026773,0.04512868832668537,8.786120509755422,0.031225382600899267,8.7669642305791,0.03613917157592963,5.000114674560885,0.021870616941645247,4.417897015802671,0.023260373733855887,4.194738035743515,0.018885336401931938,3.7569659270027493,0.020378017292599686,3.0101272784032145,0.014323668168388254,0.9440806735720355,0.012920209171139991,4.429041760205118,0.02673777988296335,6.703388392920315,0.03760883150267808,9.99638115957823,0.050099986172302824,10.483723392819,0.04260903554927795,8.725184458862538,0.029798544386909147,8.691979605431266,0.03461190462959676,4.958467431043201,0.021356270238018425,4.388285513566798,0.022818922928553826,4.1415670667357185,0.018434877149082384,3.717157791965022,0.020210480243297326,2.9897732460873465,0.014618262658112445,0,0,12,6.0395074,105.90122,0.018115327,5920.818879556313,44037.13906510422,6.0395074,105.90122,0.018115327,6.0283384,0.017391212,6.0283384,105.862816,5.6332254,5.871887,6.0288033,6.105364,6.1775584,0.0,2649,289.2628365,-33.5428055,2874.763,1359.434,0.178,335,0.99,0.082,4.4,6,7,26.0635,0.2490,0.6926,0.1785,136.3286,35.1353,3.88,24.0364,0.0299,9.6499,0.2698,881.9737,24.6579,35.77,22.3454,0.0088,27.5144,0.2230,4186.3976,33.9263,123.40,21.6941,0.0112,67.5971,0.7029,7627.2759,79.3112,96.17,21.5772,0.0147,72.6492,0.9910,8493.9947,115.8702,73.31,21.7059,0.0151,79.1741,1.1080,7544.4010,105.5765,71.46,21.5533,0.0085,57.1757,0.4470,8683.3865,67.8843,127.91,21.5618,26.8206,4.691,4.644,4.738,7.40,1.000,18.791,2.800,22.3450,4.68,7.30
1,unmatched,,2599,8.751330,9.230337,-7.770092,-4.026345,-8.306555,-4.024955,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,106,289.25377814594725,-33.54196622903349,0.013186034345621454,0.008671227094637638,0.06045030767012907,0.009631993023989704,0.04027499716569923,0.00983163531548512,0.048228133344504,0.007912448920719042,0.04543578805531653,0.009154788065556302,0.03986083744300677,0.006213079157054751,0.04720238473363986,0.00635284348152716,0.0502170683168018,0.005278985734095054,0.03676444538503114,0.007042337073740949,0.027458790095571766,0.0061207356940073815,0.0017048864266805902,0.010256410985163063,0.010895042141833192,0.013510168630356454,0.010935979724746008,0.009511919656342772,0.06451384852020138,0.010563860691879446,0.03757308646018346,0.010802383628965585,0.05274879710212988,0.008759496438655832,0.04421319244873462,0.010024718820822495,0.04279697776442796,0.006714283607225483,0.05128072286164239,0.006929924834087017,0.05098190112383819,0.005823390186737912,0.039980418155501254,0.007817704945400848,0.030454650531965322,0.00680468511842716,0.004350511415403658,0.011910228151773802,0.005575192088147205,0.015270808049636347,0.010966221518690408,0.011670339782425945,0.06499686021155222,0.012870159886168662,0.03400459356613034,0.013173256714464133,0.055599032397534165,0.01070207085276746,0.042305266727934436,0.012260131001992965,0.04506061918657632,0.007940939417107926,0.05395498702622892,0.008400355485983745,0.0498415007022636,0.007058879803412595,0.045920154681745796,0.009526341683309965,0.030974429339423654,0.008311676650287331,0,0,12,6.706396,3.3173356,0.07038273,5920.818879556313,44037.13906510422,6.706396,3.3173356,0.07038273,6.767515,0.06917866,6.690227,3.2893503,6.065924,6.5210495,6.742992,7.030672,7.526779,0.0,2599,289.2563677,-33.5408478,3198.273,1476.862,0.177,17,0.80,0.171,66.3,2,7,29.6590,1.0212,0.0253,0.0394,4.9706,7.7606,0.64,28.0826,0.2446,0.2323,0.0587,21.2314,5.3656,3.96,26.5487,0.0855,0.5731,0.0470,87.1967,7.1454,12.20,26.3151,0.2222,0.9583,0.2176,108.1344,24.5576,4.40,26.3376,0.3647,0.9059,0.3616,105.9166,42.2827,2.50,26.3630,0.2820,1.0858,0.3220,103.4635,30.6808,3.37,26.1878,0.1846,0.8006,0.1484,121.5822,22.5350,5.40,26.4104,28.0179,4.560,4.261,5.258,8.70,0.751,0.096,0.090,26.5490,4.53,8.80
1,matched,2632,2632,0.622281,0.091941,0.621356,0.033914,0.084893,0.035304,0.536463,-0.001390,0.20,6.00,4.50,6.00,0.20,10,112,289.2676431819851,-33.542039779353004,2.6873474743315486,0.0267830067790312,3.892282343398608,0.03426430300223118,4.0811630185469205,0.030664272597755643,3.4171907973045252,0.022476570058972165,3.403950099826834,0.026243254384169884,2.002589866489446,0.016207312332122453,1.827634655479953,0.01714877926594023,1.6485673822278284,0.013333416505024053,1.4529906322605795,0.0145531442180755,1.1658766072283395,0.010335690551095905,0.3450807748122,0.00990598124786004,1.5054417633940183,0.019809560247925163,2.884712524019148,0.023031288295017684,4.183633470079804,0.02898742885689901,4.368713361672476,0.026530291838851222,3.689165685616677,0.020098064022326487,3.6652151345104214,0.02351393317193289,2.16098164021286,0.014953382883554297,1.9670029368958866,0.015924377990913122,1.7737476347268686,0.012591679836608475,1.5895367084035712,0.014766065918130138,1.2526460687108378,0.010635865515827597,0.4326374019014602,0.01084351594275867,1.89527139283641,0.020190380875051806,2.8564606425982344,0.022778448536335604,4.147825496392035,0.028237221042608524,4.320197267742334,0.026253766893954745,3.6718831573326285,0.020049456366704535,3.6440486287676936,0.023509213541283214,2.1451323960362547,0.015235579752539849,1.9486758826211414,0.016248775259742266,1.7548572387836385,0.012951049119223167,1.589966656371557,0.01897216519707287,1.2447768177857923,0.011520475074086545,0,0,12,6.0453835,89.544846,0.008185754,5920.818879556313,44037.13906510422,6.0453835,89.544846,0.008185754,6.0283384,0.00798019,6.0283384,89.53487,5.7667665,5.9628134,6.044855,6.1117983,6.1776276,0.0,2632,289.2674361,-33.5420492,2644.746,1404.823,0.187,219,0.98,0.228,-55.7,6,7,99.0000,27.6156,-0.5391,0.1658,-106.1111,32.6397,-3.25,24.6753,0.0484,5.3573,0.2443,489.6377,22.3278,21.93,23.1293,0.0158,13.3654,0.1959,2033.5882,29.8057,68.23,22.7257,0.0180,26.1384,0.4378,2949.3084,49.4004,59.70,22.5105,0.0247,30.7566,0.7084,3596.0009,82.8273,43.42,22.5409,0.0204,36.6940,0.6944,3496.5261,66.1640,52.85,22.4785,0.0137,24.3856,0.3088,3703.4921,46.8947,78.97,22.4923,27.2222,4.630,4.570,4.689,7.70,1.000,5.150,1.177,23.1290,4.63,7.70
